DH0001,MH053,31,6029500,2015-01-06
DH0002,MH074,44,26224000,2015-01-06
DH0003,MH009,22,26642000,2015-01-08
DH0004,MH008,18,5742000,2015-01-06
DH0005,MH051,14,4109000,2015-01-05
DH0006,MH061,32,9616000,2015-01-06
DH0007,MH023,47,19599000,2015-01-08
DH0008,MH032,1,228500,2015-01-04
DH0009,MH054,45,14962500,2015-01-06
DH0010,MH020,9,2938500,2015-01-06
DH0011,MH045,16,4624000,2015-01-06
DH0012,MH048,32,35472000,2015-01-06
DH0013,MH058,41,20192500,2015-01-06
DH0014,MH076,31,5332000,2015-01-08
DH0015,MH031,27,32157000,2015-01-09
DH0016,MH067,9,3798000,2015-01-07
DH0017,MH069,24,4032000,2015-01-08
DH0018,MH003,10,2755000,2015-01-05
DH0019,MH011,19,3363000,2015-01-05
DH0020,MH023,17,7089000,2015-01-06
DH0021,MH011,1,177000,2015-01-05
DH0022,MH051,19,5576500,2015-01-06
DH0023,MH018,31,9594500,2015-01-08
DH0024,MH087,50,12775000,2015-01-08
DH0025,MH085,25,5000000,2015-01-08
DH0026,MH064,21,3958500,2015-01-09
DH0027,MH084,38,14630000,2015-01-05
DH0028,MH058,14,6895000,2015-01-09
DH0029,MH044,20,5630000,2015-01-09
DH0030,MH025,29,11295500,2015-01-07
DH0031,MH087,4,1022000,2015-01-09
DH0032,MH044,27,7600500,2015-01-08
DH0033,MH049,47,16732000,2015-01-08
DH0034,MH022,29,38033500,2015-01-07
DH0035,MH057,16,6640000,2015-01-10
DH0036,MH022,9,11803500,2015-01-06
DH0037,MH005,8,1480000,2015-01-06
DH0038,MH089,25,12137500,2015-01-07
DH0039,MH080,45,49927500,2015-01-08
DH0040,MH061,13,3906500,2015-01-09
DH0041,MH027,21,4914000,2015-01-08
DH0042,MH067,15,6330000,2015-01-09
DH0043,MH071,33,41431500,2015-01-09
DH0044,MH097,25,32237500,2015-01-11
DH0045,MH030,13,2418000,2015-01-08
DH0046,MH036,20,24150000,2015-01-08
DH0047,MH015,3,3793500,2015-01-09
DH0048,MH083,31,11857500,2015-01-10
DH0049,MH072,10,3195000,2015-01-08
DH0050,MH064,28,5278000,2015-01-10
DH0051,MH100,27,6466500,2015-01-09
DH0052,MH091,6,1851000,2015-01-11
DH0053,MH082,25,7662500,2015-01-11
DH0054,MH069,43,7224000,2015-01-11
DH0055,MH053,29,5640500,2015-01-09
DH0056,MH014,20,4460000,2015-01-09
DH0057,MH013,45,21712500,2015-01-11
DH0058,MH063,6,2511000,2015-01-10
DH0059,MH057,23,9545000,2015-01-11
DH0060,MH082,49,15018500,2015-01-09
DH0061,MH042,48,30624000,2015-01-11
DH0062,MH077,18,11322000,2015-01-11
DH0063,MH021,32,9152000,2015-01-12
DH0064,MH033,25,27600000,2015-01-11
DH0065,MH045,35,10115000,2015-01-12
DH0066,MH088,18,5697000,2015-01-08
DH0067,MH088,16,5064000,2015-01-10
