MH053,CH497,2015-1-1 8:00,200
MH053,CH497,2015-1-1 9:26,169
MH074,CH369,2015-1-1 8:00,200
MH074,CH369,2015-1-1 18:58,156
MH009,CH349,2015-1-1 8:00,200
MH009,CH349,2015-1-1 15:24,178
MH008,CH283,2015-1-1 8:00,200
MH008,CH283,2015-1-1 21:47,182
MH051,CH113,2015-1-1 8:00,200
MH051,CH113,2015-1-1 16:25,186
MH061,CH164,2015-1-1 8:00,200
MH061,CH164,2015-1-1 22:54,168
MH023,CH261,2015-1-1 8:00,200
MH023,CH261,2015-1-1 22:25,153
MH032,CH120,2015-1-1 8:00,200
MH032,CH120,2015-1-1 10:57,199
MH054,CH141,2015-1-1 8:00,200
MH054,CH141,2015-1-1 9:02,155
MH020,CH123,2015-1-1 8:00,200
MH020,CH123,2015-1-1 21:41,191
MH045,CH389,2015-1-1 8:00,200
MH045,CH389,2015-1-1 22:10,184
MH048,CH146,2015-1-1 8:00,200
MH048,CH146,2015-1-1 13:59,168
MH058,CH003,2015-1-1 8:00,200
MH058,CH003,2015-1-1 23:04,159
MH076,CH217,2015-1-1 8:00,200
MH076,CH217,2015-1-1 8:28,169
MH031,CH409,2015-1-2 8:00,200
MH031,CH409,2015-1-2 20:57,173
MH067,CH240,2015-1-2 8:00,200
MH067,CH240,2015-1-2 11:28,191
MH069,CH064,2015-1-2 8:00,200
MH069,CH064,2015-1-2 20:59,176
MH003,CH322,2015-1-2 8:00,200
MH003,CH322,2015-1-2 16:34,190
MH011,CH329,2015-1-2 8:00,200
MH011,CH329,2015-1-2 15:03,181
MH023,CH283,2015-1-2 8:00,200
MH023,CH283,2015-1-2 19:07,183
MH011,CH171,2015-1-2 8:00,200
MH011,CH171,2015-1-2 13:44,199
MH051,CH368,2015-1-2 8:00,200
MH051,CH368,2015-1-2 22:59,181
MH018,CH252,2015-1-2 8:00,200
MH018,CH252,2015-1-2 15:15,169
MH087,CH479,2015-1-2 8:00,200
MH087,CH479,2015-1-2 10:35,150
MH085,CH438,2015-1-2 8:00,200
MH085,CH438,2015-1-2 9:44,175
MH064,CH095,2015-1-2 8:00,200
MH064,CH095,2015-1-2 10:38,179
MH084,CH255,2015-1-2 8:00,200
MH084,CH255,2015-1-2 17:14,162
MH058,CH252,2015-1-2 8:00,200
MH058,CH252,2015-1-2 13:56,186
MH044,CH466,2015-1-3 8:00,200
MH044,CH466,2015-1-3 15:13,180
MH025,CH131,2015-1-3 8:00,200
MH025,CH131,2015-1-3 9:38,171
MH087,CH011,2015-1-3 8:00,200
MH087,CH011,2015-1-3 18:01,196
MH044,CH465,2015-1-3 8:00,200
MH044,CH465,2015-1-3 18:19,173
MH049,CH432,2015-1-3 8:00,200
MH049,CH432,2015-1-3 13:06,153
MH022,CH495,2015-1-3 8:00,200
MH022,CH495,2015-1-3 9:13,171
MH057,CH370,2015-1-3 8:00,200
MH057,CH370,2015-1-3 13:10,184
MH022,CH081,2015-1-3 8:00,200
MH022,CH081,2015-1-3 21:16,191
MH005,CH023,2015-1-3 8:00,200
MH005,CH023,2015-1-3 8:32,192
MH089,CH091,2015-1-3 8:00,200
MH089,CH091,2015-1-3 11:49,175
MH080,CH398,2015-1-3 8:00,200
MH080,CH398,2015-1-3 8:57,155
MH061,CH402,2015-1-3 8:00,200
MH061,CH402,2015-1-3 17:26,187
MH027,CH274,2015-1-3 8:00,200
MH027,CH274,2015-1-3 11:40,179
MH067,CH208,2015-1-3 8:00,200
MH067,CH208,2015-1-3 10:13,185
MH071,CH139,2015-1-4 8:00,200
MH071,CH139,2015-1-4 13:16,167
MH097,CH377,2015-1-4 8:00,200
MH097,CH377,2015-1-4 14:25,175
MH030,CH310,2015-1-4 8:00,200
MH030,CH310,2015-1-4 22:40,187
MH036,CH309,2015-1-4 8:00,200
MH036,CH309,2015-1-4 17:55,180
MH015,CH171,2015-1-4 8:00,200
MH015,CH171,2015-1-4 23:54,197
MH083,CH366,2015-1-4 8:00,200
MH083,CH366,2015-1-4 9:19,169
MH072,CH480,2015-1-4 8:00,200
