DH0001,2015-01-01,KH0903
DH0002,2015-01-01,KH0410
DH0003,2015-01-01,KH0763
DH0004,2015-01-01,KH0638
DH0005,2015-01-01,KH0275
DH0006,2015-01-01,KH0551
DH0007,2015-01-01,KH0037
DH0008,2015-01-01,KH0710
DH0009,2015-01-01,KH0520
DH0010,2015-01-01,KH0547
DH0011,2015-01-01,KH0327
DH0012,2015-01-01,KH0661
DH0013,2015-01-01,KH0473
DH0014,2015-01-01,KH0868
DH0015,2015-01-02,KH0628
DH0016,2015-01-02,KH0557
DH0017,2015-01-02,KH0289
DH0018,2015-01-02,KH0808
DH0019,2015-01-02,KH0227
DH0020,2015-01-02,KH0195
DH0021,2015-01-02,KH0535
DH0022,2015-01-02,KH0091
DH0023,2015-01-02,KH0413
DH0024,2015-01-02,KH0078
DH0025,2015-01-02,KH0082
DH0026,2015-01-02,KH0094
DH0027,2015-01-02,KH0196
DH0028,2015-01-02,KH0555
DH0029,2015-01-03,KH0752
DH0030,2015-01-03,KH0227
DH0031,2015-01-03,KH0609
DH0032,2015-01-03,KH0840
DH0033,2015-01-03,KH0856
DH0034,2015-01-03,KH0314
DH0035,2015-01-03,KH0690
DH0036,2015-01-03,KH0679
DH0037,2015-01-03,KH0984
DH0038,2015-01-03,KH0531
DH0039,2015-01-03,KH0648
DH0040,2015-01-03,KH0686
DH0041,2015-01-03,KH0010
DH0042,2015-01-03,KH0312
DH0043,2015-01-04,KH0001
DH0044,2015-01-04,KH0303
DH0045,2015-01-04,KH0019
DH0046,2015-01-04,KH0273
DH0047,2015-01-04,KH0353
DH0048,2015-01-04,KH0703
DH0049,2015-01-04,KH0650
DH0050,2015-01-04,KH0813
DH0051,2015-01-04,KH0474
DH0052,2015-01-04,KH0786
DH0053,2015-01-04,KH0759
DH0054,2015-01-04,KH0484
DH0055,2015-01-04,KH0153
DH0056,2015-01-04,KH0800
DH0057,2015-01-05,KH0567
DH0058,2015-01-05,KH0182
DH0059,2015-01-05,KH0360
DH0060,2015-01-05,KH0955
DH0061,2015-01-05,KH0572
DH0062,2015-01-05,KH0466
DH0063,2015-01-05,KH0093
DH0064,2015-01-05,KH0781
DH0065,2015-01-05,KH0994
DH0066,2015-01-05,KH0511
DH0067,2015-01-05,KH0869
DH0068,2015-01-05,KH0860
DH0069,2015-01-05,KH0070
DH0070,2015-01-05,KH0808
DH0071,2015-01-06,KH0634
DH0072,2015-01-06,KH0987
DH0073,2015-01-06,KH0794
DH0074,2015-01-06,KH0456
DH0075,2015-01-06,KH0616
DH0076,2015-01-06,KH0605
DH0077,2015-01-06,KH0151
DH0078,2015-01-06,KH0428
DH0079,2015-01-06,KH0515
DH0080,2015-01-06,KH0309
DH0081,2015-01-06,KH0110
DH0082,2015-01-06,KH0925
DH0083,2015-01-06,KH0934
DH0084,2015-01-06,KH0276
DH0085,2015-01-07,KH0573
DH0086,2015-01-07,KH0749
DH0087,2015-01-07,KH0749
DH0088,2015-01-07,KH0426
DH0089,2015-01-07,KH0419
DH0090,2015-01-07,KH0229
DH0091,2015-01-07,KH0494
DH0092,2015-01-07,KH0339
DH0093,2015-01-07,KH0388
DH0094,2015-01-07,KH0917
DH0095,2015-01-07,KH0296
DH0096,2015-01-07,KH0017
DH0097,2015-01-07,KH0416
DH0098,2015-01-07,KH0532
DH0099,2015-01-08,KH0931
DH0100,2015-01-08,KH0417
DH0101,2015-01-08,KH0805
DH0102,2015-01-08,KH0940
DH0103,2015-01-08,KH0047
DH0104,2015-01-08,KH0931
DH0105,2015-01-08,KH0068
DH0106,2015-01-08,KH0085
DH0107,2015-01-08,KH0240
DH0108,2015-01-08,KH0278
DH0109,2015-01-08,KH0402
DH0110,2015-01-08,KH0268
DH0111,2015-01-08,KH0299
DH0112,2015-01-08,KH0422
DH0113,2015-01-09,KH0232
DH0114,2015-01-09,KH0144
DH0115,2015-01-09,KH0695
DH0116,2015-01-09,KH0874
DH0117,2015-01-09,KH0104
DH0118,2015-01-09,KH0912
DH0119,2015-01-09,KH0739
DH0120,2015-01-09,KH0862
DH0121,2015-01-09,KH0128
DH0122,2015-01-09,KH0815
DH0123,2015-01-09,KH0113
DH0124,2015-01-09,KH0439
DH0125,2015-01-09,KH0740
DH0126,2015-01-09,KH0590
DH0127,2015-01-10,KH0013
DH0128,2015-01-10,KH0650
DH0129,2015-01-10,KH0978
DH0130,2015-01-10,KH0943
DH0131,2015-01-10,KH0242
DH0132,2015-01-10,KH0177
DH0133,2015-01-10,KH0244
DH0134,2015-01-10,KH0430
DH0135,2015-01-10,KH0329
DH0136,2015-01-10,KH0077
DH0137,2015-01-10,KH0942
DH0138,2015-01-10,KH0336
DH0139,2015-01-10,KH0070
DH0140,2015-01-10,KH0604
DH0141,2015-01-11,KH0197
DH0142,2015-01-11,KH0899
DH0143,2015-01-11,KH0960
DH0144,2015-01-11,KH0816
DH0145,2015-01-11,KH0967
DH0146,2015-01-11,KH0400
DH0147,2015-01-11,KH0309
DH0148,2015-01-11,KH0922
DH0149,2015-01-11,KH0112
DH0150,2015-01-11,KH0472
DH0151,2015-01-11,KH0316
DH0152,2015-01-11,KH0693
DH0153,2015-01-11,KH0775
DH0154,2015-01-11,KH0165
DH0155,2015-01-12,KH0714
DH0156,2015-01-12,KH0151
DH0157,2015-01-12,KH0204
DH0158,2015-01-12,KH0834
DH0159,2015-01-12,KH0536
DH0160,2015-01-12,KH0685
DH0161,2015-01-12,KH0378
DH0162,2015-01-12,KH0271
DH0163,2015-01-12,KH0905
DH0164,2015-01-12,KH0825
DH0165,2015-01-12,KH0790
DH0166,2015-01-12,KH0686
DH0167,2015-01-12,KH0993
DH0168,2015-01-12,KH0211
DH0169,2015-01-13,KH0904
DH0170,2015-01-13,KH0740
DH0171,2015-01-13,KH0484
DH0172,2015-01-13,KH0521
DH0173,2015-01-13,KH0815
DH0174,2015-01-13,KH0557
DH0175,2015-01-13,KH0452
DH0176,2015-01-13,KH0587
DH0177,2015-01-13,KH0837
DH0178,2015-01-13,KH0036
DH0179,2015-01-13,KH0963
DH0180,2015-01-13,KH0137
DH0181,2015-01-13,KH0498
DH0182,2015-01-13,KH0558
DH0183,2015-01-14,KH0966
DH0184,2015-01-14,KH0288
DH0185,2015-01-14,KH0984
DH0186,2015-01-14,KH0656
DH0187,2015-01-14,KH0129
DH0188,2015-01-14,KH0836
DH0189,2015-01-14,KH0990
DH0190,2015-01-14,KH0528
DH0191,2015-01-14,KH1000
DH0192,2015-01-14,KH0642
DH0193,2015-01-14,KH0438
DH0194,2015-01-14,KH0554
DH0195,2015-01-14,KH0021
DH0196,2015-01-14,KH0494
DH0197,2015-01-15,KH0956
DH0198,2015-01-15,KH0544
DH0199,2015-01-15,KH0540
DH0200,2015-01-15,KH0622
DH0201,2015-01-15,KH0223
DH0202,2015-01-15,KH0711
DH0203,2015-01-15,KH0560
DH0204,2015-01-15,KH0403
DH0205,2015-01-15,KH0411
DH0206,2015-01-15,KH0884
DH0207,2015-01-15,KH0645
DH0208,2015-01-15,KH0023
DH0209,2015-01-15,KH0857
DH0210,2015-01-15,KH0748
DH0211,2015-01-16,KH0449
DH0212,2015-01-16,KH0847
DH0213,2015-01-16,KH0798
DH0214,2015-01-16,KH0164
DH0215,2015-01-16,KH0048
DH0216,2015-01-16,KH0448
DH0217,2015-01-16,KH0026
DH0218,2015-01-16,KH0649
DH0219,2015-01-16,KH0656
DH0220,2015-01-16,KH0996
DH0221,2015-01-16,KH0490
DH0222,2015-01-16,KH0664
DH0223,2015-01-16,KH0629
DH0224,2015-01-16,KH0300
DH0225,2015-01-17,KH0659
DH0226,2015-01-17,KH0247
DH0227,2015-01-17,KH0927
DH0228,2015-01-17,KH0250
DH0229,2015-01-17,KH0618
DH0230,2015-01-17,KH0562
DH0231,2015-01-17,KH0718
DH0232,2015-01-17,KH0124
DH0233,2015-01-17,KH0008
DH0234,2015-01-17,KH0697
DH0235,2015-01-17,KH0059
DH0236,2015-01-17,KH0339
DH0237,2015-01-17,KH0637
DH0238,2015-01-17,KH0779
DH0239,2015-01-18,KH0812
DH0240,2015-01-18,KH0340
DH0241,2015-01-18,KH0284
DH0242,2015-01-18,KH0368
DH0243,2015-01-18,KH0714
DH0244,2015-01-18,KH0447
DH0245,2015-01-18,KH0929
DH0246,2015-01-18,KH0776
DH0247,2015-01-18,KH0589
DH0248,2015-01-18,KH0930
DH0249,2015-01-18,KH0334
DH0250,2015-01-18,KH0624
DH0251,2015-01-18,KH0613
DH0252,2015-01-18,KH0051
DH0253,2015-01-19,KH0394
DH0254,2015-01-19,KH0802
DH0255,2015-01-19,KH0728
DH0256,2015-01-19,KH0532
DH0257,2015-01-19,KH0842
DH0258,2015-01-19,KH0508
DH0259,2015-01-19,KH0902
DH0260,2015-01-19,KH0529
DH0261,2015-01-19,KH0545
DH0262,2015-01-19,KH0935
